"","TOWN11CD","TOWN11NM","POPULATION_2011","SIZE_FLAG","RGN11NM","COASTAL","COASTAL DETAILED","TTWA11CD","TTWA11NM","TTWA CLASSIFICATION","JOB DENSITY FLAG","INCOME FLAG","UNIVERSITY FLAG","Level4Qual_residents35-64_2011","KS4_2012-2013_counts","Key Stage 2 attainment_school year 2007 to 2008","Key Stage 4 attainment_school year 2012 to 2013","Level 2 at age 18","Level 3 at age 18","Activity at age 19: full-time higher education","Activity at age 19: sustained further education","Activity at age 19: appprenticeships","Activity at age 19: employment with earnings above £0","Activity at age 19: employment with earnings above £10,000","Activity at age 19: out-of-work","Highest level qualification achieved by age 22: less than level 1","Highest level qualification achieved by age 22: level 1 to level 2","Highest level qualification achieved by age 22: level 3 to level 5","Highest level qualification achieved by age 22: level 6 or above","Highest level qualification achieved b age 22: average score","Education Score"
"1","E34000007","Carlton in Lindrick BUA",5456,"Small Towns","East Midlands","Non-coastal","Smaller non-coastal town","E30000291","Worksop and Retford","Majority town and city (small)","Residential","Higher deprivation towns","No university","Low",65,65,70.7692307692308,72.3076923076923,50.7692307692308,"30.76923076923077","21.53846153846154","*","52.307692307692314","36.923076923076927","*","*","34.9","39.700000000000003","*",3.32307692307692,-0.533750422
"2","E34000016","Dorchester (West Dorset) BUA",19060,"Small Towns","South West","Non-coastal","Smaller non-coastal town","E30000046","Dorchester and Weymouth","Majority town and city (small)","Working","Mid deprivation towns","No university","Medium",239,69.0582959641256,71.1297071129707,85.7142857142857,60.0840336134454,"41.841004184100413","13.389121338912133","10.0418410041841","51.046025104602514","24.686192468619247","4.1841004184100417","*","21.7","44.6","33.299999999999997",3.73221757322176,1.952018749
"3","E34000020","Ely BUA",19090,"Small Towns","East of England","Non-coastal","Smaller non-coastal town","E30000186","Cambridge","Majority town and city (Large Towns)","Working","Lower deprivation towns","No university","Medium",155,71.4285714285714,56.1290322580645,83.8709677419355,45.8064516129032,"35.483870967741936","10.967741935483872","7.741935483870968","57.41935483870968","27.741935483870968","*","*","34.4","31.2","32.5",3.54838709677419,-1.044127985
"4","E34000026","Market Weighton BUA",6429,"Small Towns","Yorkshire and The Humber","Non-coastal","Smaller non-coastal town","E30000220","Hull","Majority town and city (Large Towns)","Residential","Lower deprivation towns","No university","Medium",58,70.9677419354839,53.448275862069,91.2280701754386,49.1228070175439,"25.862068965517242","25.862068965517242","*","58.620689655172406","31.03448275862069","*","*","*","66.099999999999994","*",3.48275862068966,-1.249261949
"5","E34000027","Downham Market BUA",10884,"Small Towns","East of England","Non-coastal","Smaller non-coastal town","E30000225","King's Lynn","Majority rural","Mixed","Higher deprivation towns","No university","Low",93,78.0487804878049,62.3655913978495,78.494623655914,40.8602150537634,"26.881720430107524","20.43010752688172","15.053763440860216","55.913978494623649","30.107526881720432","15.053763440860216","*","32.6","44.2","*",3.16129032258065,-1.169078452
"6","E34000039","Penrith BUA",15181,"Small Towns","North West","Non-coastal","Smaller non-coastal town","E30000106","Penrith","Majority rural","Working","Lower deprivation towns","No university","Low",158,73.8562091503268,74.0506329113924,91.1392405063291,46.2025316455696,"31.645569620253166","16.455696202531644","12.658227848101266","62.025316455696199","37.341772151898731","7.59493670886076","*","29.4","40","28.1",3.4746835443038,0.84513109
"7","E34000048","Bolsover BUA",11754,"Small Towns","East Midlands","Non-coastal","Smaller non-coastal town","E30000190","Chesterfield","Majority town and city (Large Towns)","Residential","Higher deprivation towns","No university","Low",118,70.9090909090909,50,76.271186440678,37.2881355932203,"21.1864406779661","27.118644067796609","20.33898305084746","50.847457627118644","26.271186440677969","11.864406779661017","*","34.5","47.9","*",3.10169491525424,-3.717919688
"8","E34000055","March BUA",21051,"Medium Towns","East of England","Non-coastal","Large non-coastal town","E30000287","Wisbech","Majority town and city (small)","Residential","Higher deprivation towns","No university","Low",235,71.063829787234,57.4468085106383,84.2553191489362,40.4255319148936,"25.531914893617021","17.446808510638299","10.212765957446807","47.659574468085111","26.808510638297872","6.8085106382978724","*","37.799999999999997","37.799999999999997","23.6",3.28510638297872,-2.171307159
"9","E34000056","Southam BUA",6567,"Small Towns","West Midlands","Non-coastal","Smaller non-coastal town","E30000228","Leamington Spa","Majority town and city (small)","Working","Lower deprivation towns","No university","Medium",92,81.9277108433735,91.304347826087,90.2173913043478,67.3913043478261,"38.04347826086957","21.739130434782609","16.304347826086957","52.173913043478258","25","*","*","19.600000000000001","47.8","32.6",3.84782608695652,6.437661398
"10","E34000067","Royston BUA",15781,"Small Towns","East of England","Non-coastal","Smaller non-coastal town","E30000186","Cambridge","Majority town and city (Large Towns)","Working","Lower deprivation towns","No university","Medium",169,73.0337078651685,65.0887573964497,82.2485207100592,53.8461538461538,"23.668639053254438","21.893491124260358","14.201183431952662","57.988165680473372","39.053254437869825","*","*","23.7","50.9","23.7",3.38461538461538,0.29540337
"11","E34000068","Studley BUA",6203,"Small Towns","West Midlands","Non-coastal","Smaller non-coastal town","E30000169","Birmingham","Majority conurbation","Working","Lower deprivation towns","No university","Medium",77,85.7142857142857,68.8311688311688,92.2077922077922,62.3376623376623,"45.454545454545453","19.480519480519483","*","42.857142857142854","20.779220779220779","*","*","16","50.7","33.299999999999997",3.88311688311688,4.304494117
"12","E34000086","Irthlingborough BUA",7502,"Small Towns","East Midlands","Non-coastal","Smaller non-coastal town","E30000224","Kettering and Wellingborough","Majority town and city (small)","Residential","Mid deprivation towns","No university","Low",92,68.2352941176471,55.4347826086957,75,34.7826086956522,"16.304347826086957","31.521739130434785","21.739130434782609","47.826086956521742","27.173913043478258","11.956521739130435","*","30.9","51.1","*",3,-4.001866891
"13","E34000109","Freshwater BUA",7829,"Small Towns","South East","Coastal","Smaller seaside town","E30000070","Isle of Wight","Majority town and city (small)","Residential","Higher deprivation towns","No university","Medium",71,56.0606060606061,46.4788732394366,76.056338028169,42.2535211267606,"28.169014084507044","25.352112676056336","14.084507042253522","54.929577464788736","30.985915492957744","*","*","30","44.3","*",3.22535211267606,-5.023115005
"14","E34000115","Barnoldswick BUA",10435,"Small Towns","North West","Non-coastal","Smaller non-coastal town","E30000182","Burnley","Majority town and city (Large Towns)","Mixed","Mid deprivation towns","No university","Low",129,67.7165354330709,58.9147286821705,85.2713178294574,49.6124031007752,"27.131782945736433","27.131782945736433","14.728682170542637","51.937984496124031","31.782945736434108","8.5271317829457356","*","16.8","57.3","22.9",3.4031007751938,-1.26838592
"15","E34000156","Wirksworth BUA",5038,"Small Towns","East Midlands","Non-coastal","Smaller non-coastal town","E30000200","Derby","Majority town and city (Large Towns)","Residential","Mid deprivation towns","No university","Medium",57,70.9090909090909,59.6491228070175,75.4385964912281,47.3684210526316,"26.315789473684209","24.561403508771928","*","43.859649122807014","31.578947368421051","*","*","30.9","49.1","*",3.31578947368421,-1.264372252
"16","E34000161","Dalton-in-Furness BUA",7827,"Small Towns","North West","Non-coastal","Smaller non-coastal town","E30000163","Barrow-in-Furness","Majority town and city (small)","Residential","Mid deprivation towns","No university","Low",112,78.6407766990291,57.1428571428571,79.4642857142857,42.8571428571429,"26.785714285714285","38.392857142857146","26.785714285714285","50.892857142857139","32.142857142857146","*","*","22.3","53.6","22.3",3.41964285714286,-0.718396082
"17","E34000174","Bedlington BUA",16974,"Small Towns","North East","Non-coastal","Smaller non-coastal town","E30000173","Blyth and Ashington","Majority town and city (small)","Residential","Higher deprivation towns","No university","Low",213,59.7222222222222,51.1737089201878,86.8544600938967,40.3755868544601,"25.821596244131456","35.2112676056338","25.352112676056336","50.704225352112672","23.943661971830984","12.676056338028168","*","31.2","42.8","23.3",3.30985915492958,-4.061010691
"18","E34000175","Brigg BUA",6787,"Small Towns","Yorkshire and The Humber","Non-coastal","Smaller non-coastal town","E30000260","Scunthorpe","Majority town and city (Large Towns)","Working","Higher deprivation towns","No university","Low",62,74.6268656716418,72.5806451612903,88.7096774193548,48.3870967741936,"32.258064516129032","20.967741935483872","*","41.935483870967744","17.741935483870968","*","*","21.7","60","*",3.38709677419355,0.742113567
"19","E34000181","Widnes BUA",61464,"Medium Towns","North West","Non-coastal","Large non-coastal town","E30000284","Warrington and Wigan","Majority conurbation","Mixed","Higher deprivation towns","No university","Low",734,74.9654218533887,62.9427792915531,80.2452316076294,51.0899182561308,"31.335149863760218","20.980926430517709","12.942779291553133","46.730245231607633","22.070844686648503","11.1716621253406","2.6","24.4","47.1","25.9",3.45640326975477,0.263105429
"20","E34000182","Hethersett BUA",5520,"Small Towns","East of England","Non-coastal","Smaller non-coastal town","E30000248","Norwich","Majority town and city (Large Towns)","Residential","Lower deprivation towns","No university","Medium",63,76.1904761904762,68.2539682539683,90.4761904761905,55.5555555555556,"31.746031746031743","20.634920634920633","17.460317460317459","57.142857142857139","19.047619047619047","*","*","18.5","47.7","*",3.55555555555556,1.608629917
"21","E34000184","Coningsby Airfield BUA",5021,"Small Towns","East Midlands","Non-coastal","Smaller non-coastal town","E30000174","Boston","Majority town and city (small)","Mixed","Mid deprivation towns","No university","Low",48,73.469387755102,54.1666666666667,75,29.1666666666667,"20.833333333333336","31.25","22.916666666666664","54.166666666666664","29.166666666666668","*","*","36","44","*",3.02083333333333,-3.9569896
"22","E34000188","Amble BUA",6025,"Small Towns","North East","Coastal","Smaller seaside town","E30000173","Blyth and Ashington","Majority town and city (small)","Residential","Higher deprivation towns","No university","Low",69,53.6585365853659,40.5797101449275,65.2173913043478,30.4347826086957,"28.985507246376812","23.188405797101449","17.391304347826086","39.130434782608695","20.289855072463769","*","*","35.700000000000003","40","*",3.17391304347826,-7.090910923
"23","E34000193","Skelton (Redcar and Cleveland) BUA",6535,"Small Towns","North East","Non-coastal","Smaller non-coastal town","E30000093","Middlesbrough and Stockton","Majority town and city (Large Towns)","Residential","Higher deprivation towns","No university","Low",91,85.0574712643678,60.4395604395604,86.8131868131868,50.5494505494505,"27.472527472527474","24.175824175824175","16.483516483516482","47.252747252747248","14.285714285714285","10.989010989010989","*","14.6","60.7","*",3.53846153846154,1.381818433
"24","E34000231","Seaford BUA",22584,"Medium Towns","South East","Coastal","Large seaside town","E30000204","Eastbourne","Majority town and city (Large Towns)","Residential","Mid deprivation towns","No university","Medium",223,71.2918660287081,64.1255605381166,86.9955156950673,52.0179372197309,"31.390134529147986","14.349775784753364","8.5201793721973083","53.36322869955157","25.560538116591928","5.8295964125560538","*","17.899999999999999","56.7","24.6",3.51121076233184,0.183946279
"25","E34000234","Ryhill BUA",5150,"Small Towns","Yorkshire and The Humber","Non-coastal","Smaller non-coastal town","E30000283","Wakefield and Castleford","Majority town and city (Large Towns)","Residential","Higher deprivation towns","No university","Low",56,61.5384615384615,60.7142857142857,76.7857142857143,39.2857142857143,"17.857142857142858","*","*","48.214285714285715","23.214285714285715","*","*","41.1","39.299999999999997","*",3.01785714285714,-3.813706933
"26","E34000242","Budleigh Salterton BUA",5185,"Small Towns","South West","Coastal","Smaller seaside town","E30000206","Exeter","Majority town and city (Large Towns)","Residential","Lower deprivation towns","No university","Medium",41,78.0487804878049,65.8536585365854,82.9268292682927,51.219512195122,"48.780487804878049","*","*","48.780487804878049","*","*","*","24.4","34.1","*",3.63414634146341,1.419986073
"27","E34000250","Great Dunmow BUA",7749,"Small Towns","East of England","Non-coastal","Smaller non-coastal town","E30000188","Chelmsford","Majority town and city (Large Towns)","Mixed","Lower deprivation towns","No university","Medium",76,82.8571428571429,60.5263157894737,86.8421052631579,43.421052631579,"26.315789473684209","14.473684210526317","*","59.210526315789465","36.84210526315789","*","*","32","46.7","*",3.25,-0.309563755
"28","E34000271","Wideopen BUA",8976,"Small Towns","North East","Non-coastal","Smaller non-coastal town","E30000245","Newcastle","Majority conurbation","Mixed","Mid deprivation towns","No university","Low",78,74.7126436781609,60.2564102564103,83.3333333333333,41.025641025641,"25.641025641025639","34.615384615384613","25.641025641025639","58.974358974358978","29.487179487179489","*","*","20.5","50","*",3.44871794871795,-0.955169026
"29","E34000273","Frodsham BUA",9032,"Small Towns","North West","Non-coastal","Smaller non-coastal town","E30000284","Warrington and Wigan","Majority conurbation","Residential","Lower deprivation towns","No university","Medium",108,81.8181818181818,72.2222222222222,81.4814814814815,59.2592592592593,"46.296296296296298","18.518518518518519","11.111111111111111","44.444444444444443","16.666666666666664","*","*","21.3","33.299999999999997","41.7",3.91666666666667,3.999734957
"30","E34000278","Rothwell BUA",7694,"Small Towns","East Midlands","Non-coastal","Smaller non-coastal town","E30000224","Kettering and Wellingborough","Majority town and city (small)","Residential","Higher deprivation towns","No university","Low",96,63.6363636363636,41.6666666666667,75,31.25,"15.625","21.875","14.583333333333334","62.5","29.166666666666668","10.416666666666668","*","38.299999999999997","42.6","*",3.02083333333333,-6.163408673
"31","E34000290","Chard BUA",13074,"Small Towns","South West","Non-coastal","Smaller non-coastal town","E30000293","Yeovil","Majority rural","Mixed","Higher deprivation towns","No university","Low",166,68.4523809523809,41.566265060241,77.1084337349398,42.1686746987952,"21.084337349397593","26.506024096385545","15.66265060240964","51.807228915662648","29.518072289156628","13.253012048192772","*","34.799999999999997","44.5","18.3",3.15060240963855,-4.268131254
"32","E34000306","Hook (Hart) BUA",7934,"Small Towns","South East","Non-coastal","Smaller non-coastal town","E30000164","Basingstoke","Majority town and city (Large Towns)","Working","Lower deprivation towns","No university","High",100,75.7575757575758,71,86,61,"55.000000000000007","11","*","53","23","*","*","17.2","34.299999999999997","45.5",4.11,3.860304863
"33","E34000310","Rainworth BUA",7693,"Small Towns","East Midlands","Non-coastal","Smaller non-coastal town","E30000240","Mansfield","Majority town and city (Large Towns)","Residential","Higher deprivation towns","No university","Low",87,70.4545454545455,60.9195402298851,80.4597701149425,51.7241379310345,"28.735632183908045","31.03448275862069","18.390804597701148","52.873563218390807","33.333333333333329","13.793103448275861","*","27.1","49.4","*",3.51724137931034,-0.241286848
"34","E34000313","Beverley BUA",30587,"Medium Towns","Yorkshire and The Humber","Non-coastal","Large non-coastal town","E30000220","Hull","Majority town and city (Large Towns)","Working","Lower deprivation towns","No university","Medium",342,81.1267605633803,64.9122807017544,87.719298245614,58.4795321637427,"38.011695906432749","22.807017543859647","15.497076023391813","45.614035087719294","19.005847953216374","8.7719298245614024","*","15.2","51","32.299999999999997",3.78654970760234,2.763057391
"35","E34000327","Haverhill BUA",27041,"Medium Towns","East of England","Non-coastal","Large non-coastal town","E30000186","Cambridge","Majority town and city (Large Towns)","Mixed","Mid deprivation towns","No university","Low",322,65.5384615384615,57.1428571428571,92.2360248447205,42.5465838509317,"27.950310559006208","18.944099378881987","13.043478260869565","58.385093167701861","34.472049689440993","7.4534161490683228","*","34.299999999999997","41.4","23.1",3.31987577639752,-2.564226331
